Network Size [N];New Packets Avr Delay [Pavr];Bufor Size [L];Time to Live [TTL];Routing Type;Delay;Delay Var;Received Packets;Lost Packets;Hops Avr
2;6;8;64;Random routing;3.33;7.33;52;0;3.15;
4;6;8;64;Random routing;15.51;204.95;142;3;9.28;
8;6;8;64;Random routing;35.54;900.75;223;352;12.0;
16;6;8;64;Random routing;45.52;1517.16;344;3912;12.34;
32;6;8;64;Random routing;41.72;1177.8;236;9972;12.42;
64;6;8;64;Random routing;18.25;215.56;101;4277;8.78;
2;6;8;64;Intelligent random routing;1.2;0.22;52;0;1.16;
4;6;8;64;Intelligent random routing;6.76;37.31;181;0;5.62;
8;6;8;64;Intelligent random routing;29.82;792.04;458;231;10.44;
16;6;8;64;Intelligent random routing;44.11;1656.66;570;3842;10.87;
32;6;8;64;Intelligent random routing;35.89;1136.81;430;10532;10.29;
64;6;8;64;Intelligent random routing;17.45;226.11;189;5776;7.7;
2;6;8;64;Dead reckoning;1.25;0.28;54;0;1.23;
4;6;8;64;Dead reckoning;3.63;10.07;226;0;3.21;
8;6;8;64;Dead reckoning;9.52;76.76;1151;5;5.35;
16;6;8;64;Dead reckoning;32.47;777.29;3792;1718;6.13;
32;6;8;64;Dead reckoning;41.6;834.59;2270;6422;13.19;
64;6;8;64;Dead reckoning;26.98;288.56;955;8256;13.17;
2;6;8;64;Shortest path;1.26;0.28;44;0;1.23;
4;6;8;64;Shortest path;2.89;2.14;170;0;2.66;
8;6;8;64;Shortest path;3.93;16.55;1104;0;3.01;
16;6;8;64;Shortest path;9.39;370.45;6037;222;2.78;
32;6;8;64;Shortest path;23.1;1149.95;8397;7318;4.15;
64;6;8;64;Shortest path;22.13;375.81;4458;9607;9.68;
2;6;8;64;Deflection routing;1.21;0.23;52;0;1.21;
4;6;8;64;Deflection routing;3.36;3.17;128;3;3.36;
8;6;8;64;Deflection routing;6.79;53.04;1046;268;6.79;
16;6;8;64;Deflection routing;10.2;200.74;3471;3227;10.2;
32;6;8;64;Deflection routing;16.52;402.07;5641;14501;16.52;
64;6;8;64;Deflection routing;27.33;279.74;3447;25378;27.33;
